,Time,Lon,Lat,Reading,,Time,Reading,
0,305,150.6629317,-34.02595,11.2,,305,0.06400001,11.2
1,306,150.6629217,-34.025985,11.1,,307,0.0631,11.0424982746096
2,307,150.6629133,-34.02602,11.7,,309,0.0705,12.3374980722659
3,308,150.662905,-34.0260583,12.1,,312,0.0707,12.3724980667972
4,309,150.662895,-34.026095,11.8,,314,0.0723,12.6524980230472
5,310,150.6628867,-34.0261333,11.8,,316,0.0657,11.4974982035159
6,311,150.6628767,-34.0261717,11,,319,0.0709,12.4074980613284
7,312,150.6628667,-34.02621,11.1,,321,0.0696,12.1799980968753
8,313,150.6628583,-34.02625,11.3,,323,0.0655,11.4624982089847
9,314,150.66285,-34.0262883,10.9,,326,0.0722,12.6349980257816
10,315,150.6628417,-34.0263267,11.1,,328,0.0657,11.4974982035159
11,316,150.6628333,-34.0263617,12.1,,331,0.06924,12.116998106719
12,317,150.6628283,-34.0263933,12,,333,0.069565,12.1738730978323
13,318,150.6628217,-34.0264217,12.2,,335,0.06966,12.1904980952347
14,319,150.6628167,-34.0264433,12.3,,338,0.0694,12.144998102344
15,320,150.66281,-34.026465,12.4,,340,0.06979,12.21324809168
16,321,150.6628033,-34.0264867,12,,342,0.069785,12.2123730918167
17,322,150.6627967,-34.0265083,11.9,,345,0.069885,12.2298730890823
18,323,150.6627917,-34.02653,12.1,,347,0.07014,12.2744980821097
19,324,150.6627867,-34.0265517,11.7,,349,0.070515,12.3401230718558
20,325,150.6627783,-34.0265717,11.5,,352,0.07068,12.3689980673441
21,326,150.6627633,-34.026585,11.9275,,354,0.07095,12.4162480599612
22,327,150.6627433,-34.02659,11.92,,356,0.071385,12.4923730480667
23,328,150.662725,-34.0265833,11.895,,359,0.07155,12.521248043555
24,329,150.662715,-34.02657,11.86,,361,0.072045,12.6078730300198
25,330,150.6627133,-34.0265533,11.825,,363,0.07185,12.5737480353519
26,331,150.6627167,-34.0265367,11.7875,,367,0.0719,12.5824980339847
27,332,150.6627217,-34.0265183,11.775,,369,0.071725,12.5518730387698
28,333,150.6627267,-34.0264983,11.7675,,371,0.07161,12.5317480419144
29,334,150.6627317,-34.0264783,11.78,,374,0.07157,12.5247480430081
30,335,150.6627367,-34.0264583,11.8025,,376,0.07144,12.5019980465628
31,336,150.6627417,-34.0264367,11.8225,,378,0.071745,12.555373038223
32,337,150.6627467,-34.0264133,11.8275,,381,0.0717,12.5474980394534
33,338,150.6627533,-34.0263917,11.8425,,383,0.071745,12.555373038223
34,339,150.6627583,-34.02637,11.8525,,385,0.07216,12.6279980268753
35,340,150.6627633,-34.0263483,11.8525,,388,0.071845,12.5728730354886
36,341,150.6627683,-34.0263267,11.845,,390,0.072355,12.6621230215433
37,342,150.662775,-34.0263067,11.8475,,393,0.07225,12.6437480244144
38,343,150.66278,-34.026285,11.8475,,395,0.071945,12.5903730327542
39,344,150.6627867,-34.0262617,11.85,,397,0.071565,12.5238730431448
40,345,150.6627917,-34.02624,11.8625,,400,0.071155,12.4521230543558
41,346,150.6627967,-34.0262183,11.8975,,402,0.071145,12.4503730546292
42,347,150.6628033,-34.0261967,11.95,,404,0.07099,12.4232480588675
43,348,150.6628083,-34.026175,11.9875,,407,0.071165,12.4538730540823
44,349,150.6628133,-34.0261517,12.0175,,409,0.0713349995,12.4836229619339
45,350,150.6628183,-34.0261283,12.045,,411,0.0715449995,12.5203729561917
46,351,150.662825,-34.0261067,12.0575,,414,0.0714199995,12.4984979596097
47,352,150.6628317,-34.0260833,12.0625,,416,0.0711249995,12.4468729676761
48,353,150.6628383,-34.0260617,12.055,,418,0.0714099995,12.4967479598831
49,354,150.662845,-34.0260383,12.015,,421,0.0711999995,12.4599979656253
50,355,150.66285,-34.0260167,11.975,,423,0.0713749995,12.4906229608402
51,356,150.6628583,-34.025995,11.9425,,425,0.0713999995,12.4949979601566
52,357,150.662865,-34.025975,11.895,,428,0.0715499995,12.521247956055
53,358,150.6628683,-34.025955,11.8175,,430,0.0716549995,12.5396229531839
54,359,150.6628633,-34.0259367,11.7375,,433,0.0717149995,12.5501229515433
55,360,150.66285,-34.0259233,11.645,,435,0.0718049995,12.5658729490824
56,361,150.66283,-34.0259183,11.565,,437,0.0719949995,12.599122943887
57,362,150.66281,-34.02592,11.5125,,439,0.0723349995,12.6586229345902
58,363,150.6627933,-34.02593,11.4675,,442,0.0727199995,12.7259979240628
59,364,150.662785,-34.025945,11.4375,,444,0.0731499995,12.801247912305
60,365,150.66278,-34.0259633,11.4275,,447,0.0734999995,12.8624979027347
61,366,150.6627767,-34.0259817,11.4325,,449,0.0737199995,12.9009978967191
62,367,150.6627733,-34.026,11.4475,,451,0.0740249995,12.9543728883792
63,368,150.66277,-34.0260183,11.475,,454,0.0741899995,12.9832478838675
64,369,150.6627667,-34.0260367,11.5075,,456,0.07425,12.9937479697269
65,370,150.6627633,-34.026055,11.5525,,458,0.07434,13.0094979672659
66,371,150.6627617,-34.026075,11.615,,461,0.07473,13.0777479566019
67,372,150.66276,-34.0260933,11.66,,463,0.07535,13.1862479396488
68,373,150.6627567,-34.0261133,11.705,,465,0.075355,13.187122939512
69,374,150.6627517,-34.0261317,11.715,,468,0.07579,13.2632479276175
70,375,150.6627483,-34.0261517,11.745,,470,0.07596,13.2929979229691
71,376,150.6627433,-34.0261717,11.7675,,472,0.07601,13.3017479216019
72,377,150.66274,-34.0261917,11.7825,,475,0.076355,13.3621229121683
73,378,150.6627367,-34.0262117,11.78,,477,0.07632,13.3559979131253
74,379,150.6627333,-34.0262317,11.7625,,479,0.0759949995,13.2991228345121
75,380,150.66273,-34.0262517,11.74,,482,0.0761199995,13.3209978310941
76,381,150.6627267,-34.0262733,11.7175,,484,0.07587,13.27724792543
77,382,150.6627233,-34.0262933,11.7075,,487,0.075895,13.2816229247464
78,383,150.6627183,-34.026315,11.715,,489,0.075955,13.2921229231058
79,384,150.6627133,-34.026335,11.715,,491,0.07612,13.3209979185941
80,385,150.6627083,-34.0263567,11.7175,,493,0.076255,13.3446229149027
81,386,150.662705,-34.0263783,11.7125,,496,0.076205,13.3358729162699
82,387,150.6627,-34.0264,11.71,,498,0.07591,13.2842479243363
83,388,150.662695,-34.02642,11.71,,501,0.075705,13.2483729299417
84,389,150.66269,-34.0264417,11.7175,,503,0.075835,13.271122926387
85,390,150.662685,-34.0264633,11.7375,,505,0.07594,13.289497923516
86,391,150.66268,-34.0264833,11.755,,508,0.0761999995,13.3349978289066
87,392,150.6626767,-34.0265033,11.76,,510,0.0761399995,13.3244978305472
88,393,150.6626717,-34.0265233,11.765,,512,0.0764099995,13.3717478231644
89,394,150.6626667,-34.0265417,11.7525,,515,0.0762849995,13.3498728265824
90,395,150.662655,-34.026555,11.73,,517,0.0764099995,13.3717478231644
91,396,150.6626367,-34.0265583,11.6975,,519,0.0763999995,13.3699978234378
92,397,150.6626217,-34.0265533,11.68,,522,0.0762799995,13.3489978267191
93,398,150.6626117,-34.02654,11.6725,,524,0.0763699995,13.3647478242582
94,399,150.6626117,-34.0265267,11.6725,,527,0.076865,13.451372898223
95,400,150.6626167,-34.0265117,11.675,,530,0.07641,13.3717479106644
96,401,150.6626217,-34.0264967,11.67,,532,0.0765249995,13.3918728200199
97,402,150.6626283,-34.02648,11.6675,,534,0.0762699995,13.3472478269925
98,403,150.6626333,-34.026465,11.675,,536,0.0762649995,13.3463728271292
99,404,150.66264,-34.0264483,11.6975,,538,0.0763499995,13.361247824805
100,405,150.6626467,-34.0264317,11.7225,,540,0.076694999,13.4216227278714
101,406,150.6626517,-34.026415,11.7425,,543,0.076569999,13.3997477312894
102,407,150.6626583,-34.0263967,11.76,,545,0.076689999,13.4207477280082
103,408,150.662665,-34.0263767,11.77,,548,0.076899999,13.457497722266
104,409,150.6626717,-34.0263567,11.78,,550,0.076519999,13.3909977326566
105,410,150.6626783,-34.0263367,11.785,,552,0.076679999,13.4189977282816
106,411,150.662685,-34.0263167,11.785,,555,0.0761549995,13.3271228301371
107,412,150.6626917,-34.0262967,11.785,,557,0.0760899995,13.3157478319144
108,413,150.6626967,-34.026275,11.775,,559,0.0762099995,13.3367478286332
109,414,150.6627017,-34.0262533,11.7675,,562,0.0762599995,13.345497827266
110,415,150.6627083,-34.0262317,11.7475,,564,0.0763549995,13.3621228246683
111,416,150.6627133,-34.0262083,11.73,,566,0.0765299995,13.3927478198832
112,417,150.6627183,-34.0261867,11.7125,,569,0.0765799995,13.401497818516
113,418,150.6627233,-34.0261633,11.7075,,571,0.0766499995,13.4137478166019
114,419,150.6627267,-34.02614,11.7225,,574,0.0764399995,13.3769978223441
115,420,150.6627333,-34.0261167,11.745,,576,0.0769549995,13.4671228082621
116,421,150.6627383,-34.0260933,11.7675,,578,0.0770349995,13.4811228060746
117,422,150.6627433,-34.0260683,11.765,,581,0.0773649995,13.5388727970511
118,423,150.66275,-34.026045,11.74,,583,0.0775349995,13.5686227924027
119,424,150.6627567,-34.0260217,11.715,,585,0.0774299995,13.5502477952738
120,425,150.6627617,-34.026,11.68,,588,0.07738,13.541497884141
121,426,150.6627683,-34.0259783,11.6125,,590,0.0778500005,13.6237479587894
122,427,150.662775,-34.0259583,11.55,,592,0.0781000005,13.6674979519534
123,428,150.6627767,-34.02594,11.4775,,595,0.0782050005,13.6858729490824
124,429,150.6627683,-34.0259233,11.3975,,597,0.078635001,13.7611230248245
125,430,150.6627517,-34.025915,11.3025,,599,0.078625001,13.759373025098
126,431,150.6627317,-34.025915,11.215,,602,0.078895001,13.8066230177152
127,432,150.662715,-34.025925,11.15,,604,0.078830001,13.7952480194925
128,433,150.6627017,-34.0259383,11.1,,606,0.078635001,13.7611230248245
129,434,150.6626967,-34.0259533,11.07,,609,0.078465001,13.731373029473
130,435,150.6626933,-34.0259717,11.065,,611,0.078435001,13.7261230302933
131,436,150.66269,-34.0259883,11.095,,613,0.078590001,13.753248026055
132,437,150.6626867,-34.0260067,11.1375,,616,0.078565001,13.7488730267386
133,438,150.6626833,-34.026025,11.205,,618,0.078440001,13.7269980301566
134,439,150.66268,-34.0260433,11.29,,620,0.078935001,13.8136230166214
135,440,150.662675,-34.0260617,11.3825,,623,0.078740001,13.7794980219534
136,441,150.6626717,-34.02608,11.46,,625,0.078795001,13.7891230204495
137,442,150.6626683,-34.0261,11.51,,627,0.078755001,13.7821230215433
138,443,150.6626633,-34.02612,11.555,,630,0.078860001,13.8004980186722
139,444,150.66266,-34.02614,11.575,,632,0.079175001,13.8556230100589
140,445,150.6626567,-34.02616,11.58,,635,0.078685001,13.7698730234573
141,446,150.6626517,-34.02618,11.595,,637,0.0789150005,13.8101229296683
142,447,150.6626467,-34.0262017,11.58,,639,0.079175,13.8556228350589
143,448,150.6626417,-34.0262233,11.555,,642,0.079175,13.8556228350589
144,449,150.6626383,-34.0262433,11.5225,,644,0.079215,13.8626228339652
145,450,150.6626317,-34.026265,11.505,,646,0.0794499995,13.9037477400394
146,451,150.6626267,-34.0262867,11.4875,,649,0.0796999995,13.9474977332035
147,452,150.66262,-34.0263083,11.4875,,651,0.0800149995,14.0026227245902
148,453,150.662615,-34.02633,11.49,,653,0.0801299995,14.0227477214457
149,454,150.6626083,-34.0263517,11.505,,656,0.0802099995,14.0367477192582
150,455,150.6626033,-34.0263733,11.515,,658,0.0800299995,14.00524772418
151,456,150.6625983,-34.026395,11.5275,,660,0.0796199995,13.933497735391
152,457,150.6625917,-34.0264183,11.5475,,663,0.0796749995,13.9431227338871
153,458,150.6625867,-34.0264383,11.5575,,665,0.0800299995,14.00524772418
154,459,150.66258,-34.02646,11.57,,667,0.0798749995,13.9781227284183
155,460,150.662575,-34.0264817,11.605,,670,0.0803599995,14.0629977151566
156,461,150.6625683,-34.0265017,11.57,,672,0.0801699995,14.0297477203519
157,462,150.6625617,-34.0265217,11.5325,,674,0.0802149995,14.0376227191215
158,463,150.6625533,-34.02654,11.5025,,677,0.0799399995,13.989497726641
159,464,150.662535,-34.0265483,11.4775,,679,0.0793249995,13.8818727434574
160,465,150.662515,-34.0265483,11.455,,682,0.0791749995,13.8556227475589
161,466,150.6624983,-34.02654,11.4525,,684,0.0786949995,13.7716227606839
162,467,150.6624917,-34.026525,11.4475,,686,0.07819,13.6832478619925
163,468,150.662495,-34.0265067,11.46,,688,0.078065,13.6613728654105
164,469,150.6625,-34.02649,11.475,,691,0.07831,13.7042478587113
165,470,150.6625067,-34.0264717,11.505,,693,0.0780350005,13.6561229537308
166,471,150.6625117,-34.0264517,11.5425,,696,0.0779700005,13.6447479555081
167,472,150.6625167,-34.0264317,11.57,,698,0.0778350005,13.6211229591995
168,473,150.6625217,-34.02641,11.605,,700,0.0774700005,13.55724796918
169,474,150.6625283,-34.0263867,11.65,,703,0.0772200005,13.5134979760159
170,475,150.662535,-34.0263633,11.6875,,704,0.0767850005,13.4373729879105
171,476,150.6625417,-34.0263383,11.7175,,706,0.0769250005,13.4618729840823
172,477,150.6625467,-34.026315,11.74,,709,0.0768100005,13.4417479872269
173,478,150.6625533,-34.0262917,11.74,,711,0.0763650005,13.3638729993948
174,479,150.66256,-34.0262683,11.7225,,713,0.0762350005,13.3411230029495
175,480,150.6625667,-34.026245,11.6975,,716,0.0759150005,13.2851230116995
176,481,150.662575,-34.0262217,11.6925,,718,0.0762000005,13.3349980039066
177,482,150.6625817,-34.0261983,11.71,,720,0.0761400005,13.3244980055472
178,483,150.6625883,-34.026175,11.7275,,723,0.075975001,13.2956230975589
179,484,150.6625967,-34.0261517,11.735,,725,0.076375001,13.3656230866214
180,485,150.6626033,-34.02613,11.7375,,727,0.076625001,13.4093730797855
181,486,150.66261,-34.0261067,11.7225,,730,0.076405001,13.3708730858011
182,487,150.6626183,-34.0260833,11.725,,732,0.076490001,13.3857480834769
183,488,150.662625,-34.02606,11.72,,734,0.076330001,13.3577480878519
184,489,150.6626333,-34.0260367,11.71,,737,0.0758550005,13.2746230133402
185,490,150.66264,-34.0260133,11.685,,739,0.0760750005,13.3131230073245
186,491,150.6626483,-34.0259917,11.64,,742,0.0757550005,13.2571230160745
187,492,150.662655,-34.0259683,11.5775,,745,0.0761150005,13.3201230062308
188,493,150.66266,-34.0259483,11.5125,,747,0.076325,13.3568729129886
189,494,150.6626617,-34.0259283,11.44,,750,0.0768649995,13.451372810723
190,495,150.66265,-34.0259133,11.365,,752,0.0773549995,13.5371227973246
191,496,150.6626317,-34.0259067,11.29,,754,0.0773949995,13.5441227962308
192,497,150.6626133,-34.0259067,11.2125,,757,0.0776749995,13.5931227885746
193,498,150.662595,-34.025915,11.1425,,759,0.07801,13.6517478669144
194,499,150.6625833,-34.0259283,11.065,,761,0.0781850005,13.6823729496292
195,500,150.662575,-34.0259433,10.98,,764,0.0781750005,13.6806229499027
196,501,150.6625717,-34.0259617,10.9775,,766,0.0781000005,13.6674979519534
197,502,150.6625683,-34.0259783,11.0025,,768,0.0782950005,13.7016229466214
198,503,150.662565,-34.025995,11.045,,771,0.07863,13.7602478499613
199,504,150.6625617,-34.0260133,11.105,,773,0.07869,13.7707478483207
200,505,150.66256,-34.0260333,11.18,,775,0.078745,13.7803728468167
