,Lon,Lat,1m HCP con,2m HCP con,1m HCP in,2m HCP in,1m PRP con,2m PRP con,1m PPR in,2m PPR in
0,150.6638,-34.0222017,3.3,5.9,0.32,0.8,3.5,3.8,-0.72,-1.84
1,150.6638,-34.0222017,3,5.9,0.33,0.75,3.6,3.9,-0.72,-1.83
2,150.6638,-34.0222017,3.7,5.8,0.32,0.8,3.6,3.5,-0.73,-1.84
3,150.6638,-34.0222017,3.4,6,0.32,0.77,3.7,3.6,-0.72,-1.83
4,150.6638,-34.0222017,3.4,6,0.32,0.79,3.6,3.9,-0.72,-1.84
5,150.6638,-34.0222017,3.6,6,0.32,0.77,3.4,3.6,-0.72,-1.87
6,150.6638,-34.0222017,3.7,6.4,0.33,0.77,3.6,4,-0.73,-1.84
7,150.6638,-34.0222017,3.7,6.2,0.32,0.76,3.6,4.1,-0.73,-1.85
8,150.6638,-34.0222017,3.4,5.9,0.32,0.77,3.7,4.2,-0.72,-1.83
9,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.8,4,-0.72,-1.86
10,150.6638,-34.0222017,3.5,6.3,0.32,0.77,3.6,4,-0.72,-1.83
11,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,4.1,-0.72,-1.86
12,150.6638,-34.0222017,3.1,6.1,0.32,0.76,3.7,3.7,-0.72,-1.84
13,150.6638,-34.0222017,2.9,5.9,0.32,0.77,3.6,3.8,-0.73,-1.86
14,150.6638,-34.0222017,3.3,5.8,0.32,0.77,3.6,3.8,-0.72,-1.85
15,150.6638,-34.0222017,3,6.1,0.32,0.75,3.7,3.8,-0.73,-1.84
16,150.6638,-34.0222017,2.9,6.1,0.32,0.79,3.8,4,-0.73,-1.86
17,150.6638,-34.0222017,3.2,5.8,0.32,0.75,3.8,3.9,-0.73,-1.85
18,150.6638,-34.0222017,3.5,6,0.32,0.78,3.8,3.7,-0.72,-1.84
19,150.6638,-34.0222017,3.5,5.9,0.32,0.78,3.8,3.8,-0.73,-1.85
20,150.6638,-34.0222017,3.4,6.1,0.32,0.76,3.6,3.7,-0.73,-1.85
21,150.6638,-34.0222017,3.7,6.1,0.32,0.76,3.9,3.9,-0.73,-1.86
22,150.6638,-34.0222017,3.2,5.8,0.32,0.76,3.6,3.8,-0.72,-1.84
23,150.6638,-34.0222017,3.9,5.9,0.32,0.79,3.6,3.6,-0.73,-1.82
24,150.6638,-34.0222017,3.6,5.8,0.32,0.74,3.7,4,-0.73,-1.88
25,150.6638,-34.0222017,3.7,5.8,0.31,0.78,3.6,3.7,-0.73,-1.83
26,150.6638,-34.0222017,3.6,6.2,0.32,0.79,3.4,3.7,-0.72,-1.82
27,150.6638,-34.0222017,3.5,6,0.31,0.76,3.8,4.1,-0.72,-1.84
28,150.6638,-34.0222017,3.6,5.9,0.31,0.77,3.5,4,-0.72,-1.82
29,150.6638,-34.0222017,3.6,6.1,0.31,0.77,3.6,3.7,-0.72,-1.85
30,150.6638,-34.0222017,3.4,6.1,0.31,0.79,3.6,3.7,-0.73,-1.85
31,150.6638,-34.0222017,3.1,6.1,0.31,0.8,3.5,3.8,-0.72,-1.85
32,150.6638,-34.0222017,3.3,6.3,0.31,0.79,3.7,3.8,-0.72,-1.82
33,150.6638,-34.0222017,3.2,6.3,0.32,0.77,3.7,4.1,-0.72,-1.82
34,150.6638,-34.0222017,3.1,6.4,0.31,0.78,3.6,4,-0.73,-1.85
35,150.6638,-34.0222017,2.9,6.2,0.31,0.79,3.8,4.1,-0.73,-1.85
36,150.6638,-34.0222017,3.2,6.2,0.32,0.8,3.7,4,-0.73,-1.87
37,150.6638,-34.0222017,3.4,5.5,0.32,0.78,3.7,3.9,-0.73,-1.86
38,150.6638,-34.0222017,3.5,5.9,0.32,0.75,3.4,3.8,-0.72,-1.81
39,150.6638,-34.0222017,3.4,6.2,0.32,0.75,3.6,3.7,-0.72,-1.86
40,150.6638,-34.0222017,3.6,5.6,0.31,0.76,3.5,3.9,-0.72,-1.82
41,150.6638,-34.0222017,3.5,6.4,0.32,0.76,3.6,4,-0.72,-1.83
42,150.6638,-34.0222017,3.6,6,0.32,0.77,3.8,3.7,-0.72,-1.83
43,150.6637983,-34.0222,3.7,6,0.32,0.79,3.6,4,-0.71,-1.82
44,150.6637883,-34.0221983,3.8,5.8,0.31,0.77,3.8,3.9,-0.7,-1.82
45,150.6637717,-34.022195,3.8,5.4,0.3,0.8,3.5,3.8,-0.69,-1.8
46,150.6637567,-34.02219,3.7,6.1,0.33,0.79,3.7,4,-0.67,-1.74
47,150.66374,-34.022185,3.8,6.2,0.31,0.78,3.7,3.8,-0.68,-1.77
48,150.6637233,-34.02218,3.8,6.1,0.3,0.78,3.7,4,-0.69,-1.82
49,150.6637067,-34.022175,4,5.8,0.31,0.78,3.6,4.2,-0.67,-1.83
50,150.66369,-34.02217,3.8,5.9,0.33,0.8,3.6,4.2,-0.65,-1.78
51,150.66367,-34.0221667,3.7,5.9,0.33,0.76,3.8,3.7,-0.63,-1.76
52,150.6636517,-34.0221633,3.7,6.2,0.31,0.76,3.7,4.5,-0.63,-1.77
53,150.6636333,-34.0221583,3.9,6,0.29,0.75,3.6,4.3,-0.62,-1.76
54,150.6636133,-34.022155,3.7,6.6,0.28,0.73,3.3,4.3,-0.61,-1.77
55,150.663595,-34.02215,3.4,6.6,0.28,0.68,3.8,4.7,-0.57,-1.68
56,150.663575,-34.0221467,3.9,6.5,0.27,0.66,3.2,4,-0.56,-1.7
57,150.6635583,-34.0221433,3.7,6.3,0.26,0.66,3.1,4.3,-0.53,-1.67
58,150.6635417,-34.02214,4,6.4,0.26,0.68,2.9,3.8,-0.55,-1.7
59,150.6635233,-34.0221367,4.3,6.4,0.28,0.69,2.9,3.6,-0.57,-1.73
60,150.6635067,-34.0221333,3.9,6.1,0.27,0.69,3.4,4.1,-0.56,-1.71
61,150.6634883,-34.0221283,3.9,6.4,0.27,0.69,2.9,4.2,-0.54,-1.66
62,150.66347,-34.022125,3.7,6.6,0.28,0.74,2.8,3.6,-0.53,-1.64
63,150.66345,-34.0221217,4.2,6.6,0.29,0.67,2.9,3.7,-0.52,-1.62
64,150.6634317,-34.0221183,3.7,6.6,0.27,0.7,2.8,3.7,-0.52,-1.62
65,150.6634117,-34.022115,4.2,6.6,0.26,0.66,3.1,3.9,-0.52,-1.6
66,150.6633917,-34.02211,3.9,6.5,0.27,0.68,3.9,4.3,-0.53,-1.65
67,150.6633717,-34.022105,4.8,6,0.28,0.72,4,4.8,-0.52,-1.61
68,150.6633517,-34.0221,4.4,6.5,0.27,0.71,3.3,3.9,-0.52,-1.63
69,150.6633317,-34.022095,3.7,6.6,0.29,0.71,3,4,-0.51,-1.61
70,150.6633117,-34.0220917,3.9,6.6,0.29,0.68,3.3,4.1,-0.52,-1.63
71,150.66329,-34.0220883,4,6.4,0.27,0.68,3.7,4.4,-0.52,-1.64
72,150.66327,-34.022085,4.2,6.6,0.28,0.71,3.9,4.5,-0.51,-1.6
73,150.6632467,-34.0220833,4.4,6.6,0.28,0.71,3.8,4.8,-0.49,-1.58
74,150.6632267,-34.0220817,4.3,6.5,0.29,0.66,3.9,4.2,-0.49,-1.58
75,150.663205,-34.02208,4.8,6.8,0.28,0.63,4.3,4.8,-0.51,-1.63
76,150.6631833,-34.0220767,4.5,6.7,0.29,0.68,3.9,4.6,-0.5,-1.6
77,150.66316,-34.0220733,4.4,6.3,0.28,0.66,3.9,4.3,-0.5,-1.6
78,150.6631383,-34.02207,4.7,6.4,0.29,0.66,3.5,4.6,-0.5,-1.67
79,150.6631167,-34.0220667,4.4,6.9,0.28,0.66,3.6,4.2,-0.5,-1.64
80,150.663095,-34.0220633,4.4,7.2,0.27,0.58,3.4,4.4,-0.5,-1.66
81,150.6630733,-34.02206,4.5,7,0.26,0.66,3.6,4.6,-0.52,-1.69
82,150.6630517,-34.022055,4.6,6.8,0.26,0.59,3.9,4.9,-0.52,-1.73
83,150.6630283,-34.0220517,5,7.1,0.24,0.6,3.6,4.5,-0.51,-1.7
84,150.6630067,-34.0220483,4.9,7.2,0.25,0.6,3.4,4.6,-0.49,-1.67
85,150.6629883,-34.0220433,5.1,7.6,0.24,0.58,3.2,4.4,-0.51,-1.73
86,150.6629767,-34.0220333,5,7.4,0.24,0.61,3.6,4.8,-0.51,-1.74
87,150.6629717,-34.0220217,5.2,7.8,0.25,0.65,4,5.5,-0.51,-1.75
88,150.6629733,-34.02201,5.2,8.4,0.27,0.65,3.6,5,-0.5,-1.81
89,150.6629817,-34.022,5.7,8.5,0.28,0.7,3.3,4.8,-0.47,-1.68
90,150.662995,-34.0219933,5.8,8.7,0.3,0.79,3.3,4.8,-0.47,-1.7
91,150.6630117,-34.0219933,6.2,9.1,0.32,0.85,3.5,4.8,-0.47,-1.66
92,150.6630283,-34.021995,6.2,9.7,0.31,0.88,3.4,4.9,-0.5,-1.72
93,150.6630433,-34.022,5.8,8.7,0.28,0.82,3.5,4.5,-0.5,-1.75
94,150.6630617,-34.022005,5.6,8.4,0.26,0.66,3.7,5.3,-0.5,-1.72
95,150.6630783,-34.0220083,5.8,8.2,0.24,0.6,3.9,5.5,-0.49,-1.74
96,150.6630983,-34.0220133,5.3,8.1,0.23,0.58,3.8,5.3,-0.49,-1.72
97,150.6631183,-34.0220167,5,8,0.25,0.55,3.6,5.4,-0.48,-1.71
98,150.6631383,-34.0220217,4.9,7.5,0.25,0.6,3.4,4.6,-0.49,-1.73
99,150.6631583,-34.022025,5.2,7.6,0.25,0.63,3.9,4.6,-0.5,-1.74
100,150.6631783,-34.0220317,4.6,6.9,0.27,0.59,3.7,4.7,-0.47,-1.66
101,150.6632,-34.0220367,4.5,6.9,0.27,0.6,3.6,4.5,-0.47,-1.62
102,150.6632217,-34.0220417,-1.3,5.9,0.38,0.66,2.6,3.5,-0.45,-1.58
103,150.6632433,-34.0220467,4.5,6.3,0.27,0.64,3.6,4.6,-0.47,-1.63
104,150.663265,-34.02205,4.3,6.9,0.26,0.65,3.3,4.4,-0.47,-1.61
105,150.6632883,-34.022055,4.4,6.4,0.26,0.62,3.6,4.3,-0.46,-1.55
106,150.66331,-34.02206,4.1,6.7,0.25,0.64,3.3,4.7,-0.47,-1.54
107,150.663335,-34.022065,4.5,6.6,0.25,0.64,3.5,4,-0.48,-1.56
108,150.6633583,-34.0220683,4,6.9,0.25,0.64,3.3,4.2,-0.48,-1.6
109,150.6633833,-34.0220733,4.4,6.9,0.25,0.67,3.5,4.7,-0.48,-1.63
110,150.6634083,-34.0220783,4.6,6.6,0.26,0.66,3.6,4.4,-0.48,-1.63
111,150.6634333,-34.0220833,4.2,6.2,0.26,0.67,3.5,4.6,-0.49,-1.63
112,150.66346,-34.0220883,4.2,6,0.26,0.64,3.2,4.4,-0.49,-1.57
113,150.663485,-34.0220933,4.3,6.6,0.27,0.67,3.4,4.6,-0.48,-1.58
114,150.6635117,-34.0221,4.6,5.8,0.27,0.63,3.9,4.7,-0.48,-1.56
115,150.6635367,-34.022105,4.1,6.4,0.27,0.69,3.2,4.3,-0.48,-1.6
116,150.6635633,-34.0221117,3.9,6.7,0.26,0.66,2.8,3.6,-0.51,-1.62
117,150.66359,-34.0221167,4,6,0.27,0.68,2.9,3.5,-0.52,-1.61
118,150.6636167,-34.0221233,3.8,6.3,0.27,0.69,2.9,3.9,-0.53,-1.65
119,150.6636433,-34.0221283,4.2,6.4,0.27,0.7,3.1,3.8,-0.55,-1.71
120,150.66367,-34.0221333,3.8,5.7,0.29,0.71,3,3.9,-0.54,-1.7
121,150.663695,-34.0221383,3.4,6.4,0.29,0.68,3,3.5,-0.54,-1.69
122,150.6637217,-34.022145,3.6,6.1,0.29,0.7,3,3.9,-0.56,-1.72
123,150.663745,-34.02215,3.3,5.9,0.31,0.72,3.1,3.9,-0.57,-1.72
124,150.663765,-34.0221583,3.4,5.8,0.31,0.73,3.2,3.5,-0.59,-1.75
125,150.663785,-34.0221633,3.5,5.6,0.31,0.77,3.2,3.4,-0.63,-1.78
126,150.6638017,-34.0221633,3.5,6.2,0.31,0.78,2.9,3.1,-0.64,-1.79
127,150.6638167,-34.0221583,3.3,6.3,0.28,0.77,3.2,3.6,-0.64,-1.73
128,150.6638267,-34.0221483,3.6,6,0.31,0.82,3.4,3.7,-0.65,-1.77
129,150.66383,-34.0221367,3.6,5.5,0.32,0.9,4.4,3.4,-0.69,-1.79
130,150.6638283,-34.0221233,4.3,5,0.28,0.95,3.9,2.9,-0.66,-1.74
131,150.66382,-34.0221133,4.1,6.7,0.32,0.93,3.1,3.9,-0.63,-1.76
132,150.6638067,-34.022105,4.2,6.6,0.33,0.93,3.2,3.5,-0.6,-1.68
133,150.66379,-34.0221,3.8,6.8,0.35,0.91,2.6,3.4,-0.56,-1.67
134,150.6637733,-34.0220967,3.7,6.6,0.32,0.83,2.5,3.1,-0.54,-1.63
135,150.6637567,-34.0220933,3.4,6.4,0.31,0.74,2.6,3.4,-0.53,-1.65
136,150.6637383,-34.02209,3.5,5.9,0.28,0.73,2.5,3.4,-0.53,-1.64
137,150.6637183,-34.022085,3.3,5.4,0.27,0.71,2.7,3.8,-0.55,-1.66
138,150.6637,-34.0220817,3.3,5.9,0.27,0.68,2.9,3.5,-0.55,-1.67
139,150.6636783,-34.0220783,3.4,6.2,0.27,0.66,2.6,3.2,-0.54,-1.69
140,150.6636583,-34.0220733,3.6,5.8,0.27,0.68,3.1,3.9,-0.56,-1.69
141,150.6636367,-34.0220683,1.4,5.5,0.28,0.71,3.1,3.7,-0.56,-1.65
142,150.6636133,-34.022065,3.3,6,0.28,0.67,2.8,3.9,-0.52,-1.64
143,150.66359,-34.02206,3.1,5.8,0.28,0.67,3,4,-0.51,-1.63
144,150.6635667,-34.022055,3.4,6,0.28,0.66,2.8,3.9,-0.51,-1.67
145,150.6635433,-34.02205,3.4,6.1,0.26,0.66,3,4.2,-0.52,-1.7
146,150.6635183,-34.0220467,3.5,5.9,0.27,0.66,2.8,4,-0.49,-1.65
147,150.6634933,-34.0220417,3.3,5.8,0.27,0.65,2.8,3.9,-0.48,-1.62
148,150.6634667,-34.0220367,3.3,5.7,0.28,0.64,2.5,4,-0.46,-1.56
149,150.6634417,-34.02203,3.7,5.6,0.28,0.62,2.9,3.7,-0.46,-1.57
150,150.663415,-34.022025,3.9,6.3,0.27,0.63,3.2,4,-0.47,-1.59
151,150.66339,-34.02202,4.3,6.2,0.26,0.61,3.5,4.3,-0.46,-1.55
152,150.663365,-34.0220133,4.2,6.3,0.27,0.63,2.9,4,-0.46,-1.57
153,150.66334,-34.0220083,3.9,6.2,0.27,0.63,3,4,-0.47,-1.61
154,150.663315,-34.0220033,4.5,5.9,0.26,0.65,3.3,4.3,-0.47,-1.6
155,150.6632883,-34.0219983,4.7,6,0.26,0.64,3.2,4.1,-0.46,-1.61
156,150.6632633,-34.0219917,4.2,6.4,0.25,0.63,3.3,4.1,-0.45,-1.56
157,150.6632383,-34.0219867,4.4,6.4,0.25,0.62,3.3,4,-0.46,-1.6
158,150.6632117,-34.0219817,5,6.3,0.25,0.61,3.4,4.1,-0.46,-1.58
159,150.6631867,-34.021975,4.3,6.3,0.25,0.61,3.3,4,-0.46,-1.59
160,150.6631617,-34.02197,4.6,6.4,0.26,0.61,3.3,4.2,-0.46,-1.6
161,150.6631367,-34.021965,4.1,6.3,0.25,0.61,3.3,4.5,-0.46,-1.6
162,150.6631117,-34.02196,4.2,6.4,0.25,0.6,3.4,4.3,-0.46,-1.61
163,150.6630867,-34.021955,4.4,6.8,0.26,0.61,3.4,4.5,-0.46,-1.6
164,150.6630633,-34.02195,4,7,0.26,0.6,3.5,4.7,-0.46,-1.59
165,150.6630433,-34.02195,4.7,7.6,0.26,0.61,3.7,4.9,-0.47,-1.63
166,150.6630267,-34.021945,5,6.9,0.25,0.62,3.4,4.4,-0.48,-1.66
167,150.6630183,-34.021935,5,7.4,0.24,0.65,3.7,4.8,-0.49,-1.71
168,150.663015,-34.021925,5.5,7.7,0.25,0.69,3.5,4.9,-0.48,-1.7
169,150.6630167,-34.0219133,5.2,7.7,0.26,0.69,3.6,5.2,-0.48,-1.67
170,150.663025,-34.0219033,5.6,8.1,0.28,0.72,3.4,4.6,-0.47,-1.64
171,150.6630367,-34.0218967,5.4,8.3,0.29,0.79,3.1,4.6,-0.46,-1.61
172,150.6630533,-34.0218967,5.6,8.4,0.32,0.85,2.9,4.3,-0.45,-1.56
173,150.66307,-34.0219017,5.6,8.5,0.33,0.91,2.6,4,-0.44,-1.55
174,150.663085,-34.0219083,5.5,8.2,0.33,0.88,2.4,3.5,-0.45,-1.56
175,150.6631,-34.0219133,4.7,7.1,0.29,0.79,2.6,3.6,-0.45,-1.55
176,150.6631183,-34.02192,4.3,6.9,0.27,0.67,2.4,3.6,-0.44,-1.59
177,150.6631367,-34.021925,3.7,6.7,0.26,0.61,2.4,3.6,-0.45,-1.57
178,150.6631567,-34.02193,3.6,6.5,0.26,0.61,2.8,3.8,-0.44,-1.56
179,150.6631767,-34.0219333,3.6,6.4,0.27,0.62,2.9,3.9,-0.43,-1.53
180,150.6631983,-34.0219383,3.9,6.4,0.27,0.62,3.2,4.1,-0.43,-1.53
181,150.6632217,-34.0219433,3.6,6.4,0.27,0.6,3,4.1,-0.43,-1.5
182,150.663245,-34.0219483,3.9,6.2,0.27,0.63,3,4.1,-0.43,-1.53
183,150.6632683,-34.0219533,3.5,6.1,0.27,0.65,3.2,3.4,-0.44,-1.55
184,150.6632933,-34.0219583,3.6,6.2,0.28,0.62,2.7,3.4,-0.43,-1.52
185,150.6633183,-34.0219633,3.6,5.7,0.28,0.62,2.8,3.7,-0.43,-1.48
186,150.663345,-34.0219683,3.6,5.5,0.28,0.59,3.1,3.6,-0.44,-1.57
187,150.66337,-34.0219733,3.6,6,0.29,0.61,2.8,3.3,-0.43,-1.51
188,150.6633967,-34.0219783,3.5,5.8,0.29,0.66,3,3.3,-0.43,-1.5
189,150.6634233,-34.0219833,3.5,5.3,0.28,0.62,2.9,3.4,-0.43,-1.52
190,150.6634483,-34.0219883,3.7,5.6,0.28,0.62,3,3.7,-0.44,-1.55
191,150.663475,-34.021995,3.4,5.2,0.28,0.61,2.7,3.6,-0.45,-1.55
192,150.6635017,-34.0220017,3.5,5.6,0.26,0.61,2.6,3.4,-0.44,-1.53
193,150.6635283,-34.0220083,3.3,5.1,0.27,0.63,3.2,3.7,-0.44,-1.55
194,150.663555,-34.0220133,3.7,5,0.26,0.63,3.1,3.8,-0.47,-1.56
195,150.66358,-34.0220183,3.3,5.4,0.25,0.64,2.5,3.2,-0.47,-1.59
196,150.6636033,-34.0220233,3.3,5.4,0.25,0.59,2.6,3.4,-0.47,-1.59
197,150.6636283,-34.0220283,2.9,6,0.25,0.62,2.5,3.4,-0.47,-1.62
198,150.6636533,-34.0220333,3.1,5.6,0.26,0.64,2.2,3.3,-0.47,-1.57
199,150.6636767,-34.0220383,2.7,5.6,0.26,0.63,2.5,3.4,-0.48,-1.62
200,150.6637,-34.0220433,3,5.6,0.25,0.65,2.5,3.2,-0.49,-1.62
201,150.6637217,-34.0220483,3.1,5.7,0.26,0.65,2.6,3.6,-0.48,-1.56
202,150.6637433,-34.0220517,3.2,5.8,0.26,0.69,2.2,3.1,-0.48,-1.61
203,150.663765,-34.022055,2.8,5.9,0.26,0.68,2.2,2.9,-0.5,-1.63
204,150.663785,-34.0220583,2.8,5.5,0.25,0.65,2.4,3,-0.5,-1.65
205,150.663805,-34.0220617,3.2,5.9,0.26,0.67,2.2,2.8,-0.49,-1.59
206,150.6638217,-34.022065,3.3,5.6,0.26,0.65,2.3,3,-0.49,-1.6
207,150.663825,-34.022065,3.3,5.5,0.27,0.64,2.5,3,-0.5,-1.59
208,150.663825,-34.022065,3.1,5.7,0.28,0.65,2.7,3.1,-0.5,-1.6
209,150.663825,-34.022065,3.6,5.3,0.28,0.69,2.6,3,-0.51,-1.61
210,150.663825,-34.022065,3.5,5.7,0.27,0.65,2.7,3.7,-0.5,-1.66
211,150.663825,-34.022065,3.3,5.4,0.27,0.66,2.5,3.6,-0.5,-1.6
212,150.663825,-34.022065,3.1,5.5,0.27,0.67,2.6,3.3,-0.5,-1.62
213,150.663825,-34.022065,3.3,5.4,0.27,0.68,2.7,3.2,-0.5,-1.64
214,150.663825,-34.022065,2.9,5.2,0.27,0.66,2.7,3.2,-0.5,-1.61
215,150.663825,-34.022065,3.2,5.3,0.27,0.68,2.6,3.4,-0.5,-1.63
216,150.663825,-34.022065,2.8,5.3,0.27,0.65,2.5,3.5,-0.5,-1.61
217,150.663825,-34.022065,3,5.3,0.27,0.66,2.6,3.6,-0.49,-1.59
218,150.663825,-34.022065,3.1,5.7,0.27,0.66,2.6,3.7,-0.5,-1.61
219,150.663825,-34.022065,2.8,5.5,0.27,0.66,2.8,3.4,-0.49,-1.62
220,150.663825,-34.022065,2.9,5.8,0.28,0.64,2.6,3.2,-0.5,-1.61
221,150.663825,-34.022065,2.7,5.6,0.27,0.66,2.5,3.7,-0.5,-1.58
222,150.663825,-34.022065,3,5.8,0.28,0.67,2.8,3.4,-0.5,-1.61
223,150.663825,-34.022065,3.2,5.7,0.27,0.66,2.6,3.2,-0.5,-1.62
224,150.663825,-34.022065,3.5,5.7,0.28,0.66,2.6,3.4,-0.49,-1.58
225,150.663825,-34.022065,3.3,5.3,0.28,0.65,2.7,3.3,-0.49,-1.6
