,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
327,1311,150.662515,-34.024845,-0.2,0.8,0.32,2.85,17.3,8.2,-4.04,-6.64,8.55
328,1315,150.662515,-34.0248767,0.7,0.2,0.28,3.02,19.2,9.2,-4.36,-6.92,9.95
329,1319,150.66251,-34.02491,1.1,-0.5,0.07,3.47,21.9,10.2,-5.09,-8.12,11.5
330,1323,150.6625067,-34.0249433,2.2,-0.4,-0.16,3.54,23.3,11,-5.53,-9.05,12.75
331,1327,150.6625017,-34.02498,1.5,-0.3,-0.08,3.48,23.3,11.2,-5.49,-9.03,12.4
332,1331,150.662495,-34.0250167,2,0.4,-0.15,3.37,23.4,11.7,-5.57,-9.33,12.7
333,1335,150.6624867,-34.0250533,2.6,0.8,-0.07,3.29,24.9,12.6,-5.75,-9.6,13.75
334,1339,150.6624767,-34.0250933,2.2,1,0.09,3.08,24.7,12.3,-5.72,-9.43,13.45
335,1343,150.6624667,-34.0251333,1.9,0.9,-0.14,3.2,24,11.9,-5.92,-9.88,12.95
336,1347,150.6624567,-34.0251767,2,1.1,-0.14,3.06,23.7,11.4,-5.81,-9.77,12.85
337,1351,150.6624467,-34.02522,1.7,0.8,-0.05,3.24,24,11.7,-5.79,-9.58,12.85
338,1355,150.662435,-34.0252633,1.6,1.5,0.14,3.01,22.2,11.3,-5.17,-8.47,11.9
339,1359,150.6624233,-34.0253083,1.5,2,0.15,2.68,20.8,10.3,-4.81,-8.01,11.15
340,1363,150.6624117,-34.025355,1.7,2,0.08,2.61,20.6,10.4,-4.79,-8.17,11.15
341,1367,150.6624,-34.0254017,1.8,2.3,0.06,2.74,20.7,10.9,-4.84,-8.2,11.25
342,1371,150.6623867,-34.0254483,2.1,2.1,0.03,2.92,20.3,10.3,-4.9,-8.15,11.2
343,1375,150.6623733,-34.025495,1.6,1.9,0.12,3.05,20.1,10.1,-4.8,-7.77,10.85
344,1379,150.66236,-34.0255433,1.9,2.8,0.15,2.86,19.2,9.7,-4.59,-7.6,10.55
345,1383,150.662345,-34.0255933,2.5,2.9,0.16,2.7,19,10.2,-4.5,-7.54,10.75
346,1387,150.6623317,-34.0256417,2.3,3.4,0.23,2.42,18.6,10.1,-4.28,-7.27,10.45
347,1391,150.6623167,-34.02569,2,3.6,0.36,2.23,17.2,10.2,-3.91,-6.65,9.6
348,1395,150.662305,-34.0257383,1.4,4.6,0.46,2.11,15.6,9,-3.62,-6.01,8.5
349,1399,150.6622917,-34.025785,1.3,5.2,0.55,2.11,14.4,8.7,-3.4,-5.41,7.85
350,1403,150.6622817,-34.02583,1.3,6.5,0.7,2.18,13.6,8.4,-3.24,-4.8,7.45
351,1407,150.66227,-34.0258767,1,6.2,0.72,2.27,12.8,8.3,-3.12,-4.42,6.9
352,1411,150.6622583,-34.0259217,0.2,5.4,0.75,2.47,12.2,7,-3.07,-4.18,6.2
353,1415,150.6622467,-34.025965,-0.1,4.7,0.74,2.4,11.8,6.6,-2.98,-4.14,5.85
354,1419,150.6622367,-34.02601,-0.2,4.3,0.64,2.29,11.4,6.3,-2.95,-4.26,5.6
355,1423,150.662225,-34.026055,-0.5,4,0.55,2.16,11.2,6,-2.94,-4.42,5.35
356,1427,150.6622133,-34.0260983,-1,3.3,0.56,2.05,10.7,5.4,-2.88,-4.44,4.85
357,1431,150.6622033,-34.0261417,-1.2,2.2,0.49,2.07,11.6,5.9,-3.01,-4.74,5.2
358,1435,150.6621933,-34.0261833,-1.1,1.6,0.47,2.36,12.7,5.9,-3.29,-5.06,5.8
359,1439,150.6621833,-34.0262233,-1.8,1.2,0.53,2.6,13.6,5.5,-3.52,-5.18,5.9
360,1443,150.662175,-34.0262617,-2.6,1.1,0.56,2.67,14.6,5.9,-3.65,-5.21,6
361,1447,150.6621633,-34.026295,-2.3,1.1,0.53,2.78,14.9,5.9,-3.78,-5.4,6.3
362,1451,150.6621417,-34.02632,-2.3,1.1,0.55,2.83,15,6.5,-3.82,-5.41,6.35
363,1455,150.6621133,-34.02633,-2.4,0.9,0.6,2.82,14.4,5.4,-3.85,-5.45,6
364,1459,150.6620867,-34.0263283,-2.1,0.9,0.58,2.87,13.7,5.3,-3.82,-5.38,5.8
365,1463,150.662065,-34.026315,-2.3,0.9,0.59,2.89,13.8,5.2,-3.79,-5.29,5.75
366,1467,150.6620517,-34.0262967,-1.6,1,0.52,2.79,13.4,5.4,-3.76,-5.36,5.9
367,1471,150.6620467,-34.0262733,-1.7,1.3,0.5,2.68,13.5,5.2,-3.77,-5.41,5.9
368,1475,150.66205,-34.0262467,-2,0.8,0.59,2.87,14,5.4,-3.87,-5.38,6
369,1479,150.662055,-34.0262183,-2.6,0.8,0.61,2.93,14.5,5.5,-3.92,-5.45,5.95
370,1483,150.6620633,-34.0261867,-1.8,0.9,0.54,2.86,15,6.3,-3.95,-5.46,6.6
371,1487,150.6620717,-34.02615,-1.6,0.9,0.52,2.86,15.3,6.5,-3.9,-5.47,6.85
372,1491,150.66208,-34.0261133,-1.4,1.4,0.46,2.73,14.7,6.4,-3.75,-5.36,6.65
373,1495,150.6620917,-34.0260733,-0.9,1.8,0.42,2.53,14,6.2,-3.53,-5.28,6.55
374,1499,150.6621033,-34.0260317,-0.9,2,0.44,2.27,13,6.4,-3.3,-5.17,6.05
375,1503,150.6621133,-34.02599,-0.8,3,0.44,2.03,12.3,6.4,-3.12,-4.99,5.75
376,1507,150.662125,-34.025945,-0.3,2.9,0.49,2.02,11.9,6.9,-3.02,-4.76,5.8
377,1511,150.6621367,-34.0259,-0.4,3.6,0.52,2.04,12,6.5,-3.02,-4.67,5.8
378,1515,150.6621483,-34.025855,-0.7,4.2,0.62,2.12,11.8,6.1,-2.93,-4.34,5.55
379,1519,150.6621583,-34.0258117,-0.7,4.5,0.71,2.27,12,6.5,-3.03,-4.23,5.65
380,1523,150.66217,-34.0257683,-0.8,4.8,0.7,2.35,12.3,6.8,-3.12,-4.41,5.75
381,1527,150.6621817,-34.0257317,0.6,5.5,0.59,2.23,13,7.5,-3.17,-4.74,6.8
382,1531,150.6621917,-34.025695,1.2,5.7,0.72,2.27,14.3,8.4,-3.31,-5.02,7.75
383,1535,150.6622,-34.025655,2.4,6.6,0.59,2.27,16.5,10.5,-3.56,-5.52,9.45
384,1539,150.6622067,-34.0256133,3.7,7.4,0.49,2.2,17.3,11.6,-3.68,-6.03,10.5
385,1543,150.662215,-34.025575,4.5,7.9,0.35,2.13,18.4,12.1,-3.88,-6.56,11.45
386,1547,150.662225,-34.0255333,5.5,8.2,0.23,2.19,19.4,13.2,-4.11,-6.99,12.45
387,1551,150.662235,-34.0254917,5.6,7.9,0.19,2.52,20.5,13.1,-4.43,-7.38,13.05
388,1555,150.6622467,-34.0254483,6.6,7.4,0.09,2.71,21.9,14.4,-4.61,-7.65,14.25
389,1559,150.66226,-34.025405,6.2,7.5,0.07,2.93,22.2,14.6,-4.76,-7.79,14.2
390,1563,150.6622717,-34.02536,5.8,6.8,0.13,3.01,21.2,13.8,-4.64,-7.64,13.5
391,1567,150.662285,-34.025315,5.7,6.7,0.07,2.79,21.1,13.9,-4.56,-7.69,13.4
392,1571,150.6622983,-34.02527,5.8,7.1,0,2.8,21.5,13.8,-4.71,-7.94,13.65
393,1575,150.6623117,-34.0252267,6.3,7.9,-0.02,2.73,21.8,14.5,-4.76,-8.19,14.05
394,1579,150.6623233,-34.0251817,5.9,7.3,0.06,2.69,22.3,14.8,-4.78,-8.24,14.1
395,1583,150.662335,-34.0251367,5.3,7,0.21,2.76,22.7,14.7,-4.77,-8.06,14
396,1587,150.6623467,-34.0250917,5.6,7.2,0.14,2.79,23.7,15.3,-5,-8.43,14.65
397,1591,150.6623567,-34.0250467,4.6,6.3,0.04,3.05,24.4,14.7,-5.47,-9.22,14.5
398,1595,150.6623683,-34.0250017,5,6.3,-0.05,3.1,25.6,15.2,-5.75,-9.83,15.3
399,1599,150.66238,-34.024955,5.1,6.5,0.06,3.1,24.9,15,-5.73,-9.78,15
400,1603,150.6623933,-34.02491,4.5,4.9,-0.03,3.1,24.8,14.1,-5.85,-10.07,14.65
401,1607,150.6624067,-34.024865,2.6,2.2,0.12,3.62,25.6,13.4,-6.14,-9.72,14.1
402,1611,150.6624167,-34.024825,1.2,1.3,0.34,3.94,24.9,11.7,-5.86,-8.68,13.05
403,1615,150.6624283,-34.02479,2.5,1.4,0.12,3.7,22.8,11.4,-5.19,-8.12,12.65
404,1619,150.6624383,-34.0247617,1.4,1.1,0.28,3.06,18.5,9.4,-4.19,-6.88,9.95
405,1623,150.662435,-34.024735,1.5,1.9,0.16,2.61,17.1,9,-4.05,-6.84,9.3
406,1627,150.66242,-34.0247133,1.4,1.6,0.12,2.74,18.1,9.5,-4.3,-7.36,9.75
407,1631,150.6623933,-34.0247017,2.4,2.1,-0.04,2.88,19.7,10.3,-4.66,-7.98,11.05
408,1635,150.6623633,-34.0247033,2.7,2.5,-0.08,2.92,19.9,10.9,-4.63,-8.15,11.3
409,1639,150.6623383,-34.0247167,2.4,3.4,0,2.68,18.6,10.6,-4.33,-7.84,10.5
410,1643,150.6623233,-34.02474,2.7,3.3,0.04,2.55,18.5,10.7,-4.3,-7.72,10.6
411,1647,150.6623133,-34.0247667,2.4,3,0.03,2.67,19,10.6,-4.47,-7.65,10.7
412,1651,150.662305,-34.024795,0.7,2.7,0.21,2.74,18.2,9.5,-4.29,-7.21,9.45
413,1655,150.6622967,-34.0248283,1.1,2.8,0.32,2.77,18.5,10.1,-4.27,-6.94,9.8
414,1659,150.66229,-34.0248633,3,3.4,0.17,3.18,21.9,12.2,-4.84,-7.6,12.45
415,1663,150.6622833,-34.0249,4.2,4,0.1,3.56,24.7,13.6,-5.43,-8.34,14.45
416,1667,150.662275,-34.0249367,3.9,4.3,0.09,3.57,25.5,14,-5.83,-9.12,14.7
417,1671,150.662265,-34.0249733,3.6,5,0.09,3.54,25.9,13.9,-6.06,-9.7,14.75
418,1675,150.6622567,-34.0250133,4.9,5.4,-0.01,3.34,25.4,15.1,-5.96,-9.81,15.15
419,1679,150.662245,-34.0250517,6.2,6,-0.16,3.23,25.8,14.9,-5.98,-9.8,16
420,1683,150.662235,-34.0250917,6,7,-0.1,3.17,24.3,14.6,-5.53,-9.06,15.15
421,1687,150.6622233,-34.0251333,5.8,7.1,0.01,2.92,22.8,14,-5.02,-8.35,14.3
422,1691,150.6622133,-34.025175,6.7,7.8,0.08,2.83,22.4,14.4,-4.83,-8.1,14.55
423,1695,150.6622033,-34.0252167,6,7.6,0.08,2.93,22.6,14,-4.95,-8.16,14.3
424,1699,150.6621917,-34.0252567,5.6,7.2,0.1,3.08,22.7,14.5,-4.93,-8.02,14.15
425,1703,150.6621817,-34.0252983,5.8,6.7,0.01,3.13,22.4,14.1,-4.99,-8.15,14.1
426,1707,150.66217,-34.02534,5.1,6.1,0.03,3.17,22.6,14,-4.99,-8.1,13.85
427,1711,150.66216,-34.0253783,5.4,5.7,0.08,3.33,23,13.4,-5.04,-8.01,14.2
428,1715,150.66215,-34.0254167,5.3,5.8,0.11,3.2,22.6,14,-4.91,-7.86,13.95
429,1719,150.6621417,-34.0254517,5.2,6.7,0.09,3.12,22.4,13.6,-4.85,-7.84,13.8
430,1723,150.662135,-34.0254817,5.3,6.9,0.08,2.8,21.3,13.4,-4.66,-7.82,13.3
431,1727,150.6621267,-34.02551,4.6,6.7,0.15,2.7,20.7,12.7,-4.53,-7.63,12.65
432,1731,150.6621217,-34.025535,4.1,7.5,0.17,2.54,20.2,12.9,-4.38,-7.49,12.15
433,1735,150.662115,-34.02556,4.5,7,0.3,2.4,19.7,13.1,-4.18,-7.16,12.1
434,1739,150.6621083,-34.0255833,3.3,6.8,0.42,2.35,18.9,12.2,-4.03,-6.8,11.1
435,1743,150.6621033,-34.0256067,2.8,7,0.48,2.35,18,11.2,-3.91,-6.51,10.4
436,1747,150.6620967,-34.0256317,2.6,6.6,0.5,2.27,17,10.6,-3.79,-6.31,9.8
437,1751,150.66209,-34.0256617,2.1,6.5,0.51,2.12,16.2,9.8,-3.6,-6.04,9.15
438,1755,150.6620833,-34.0256933,1.3,5.9,0.62,2.12,15.7,9.5,-3.46,-5.54,8.5
439,1759,150.6620783,-34.0257267,1.3,5.8,0.69,2.21,15.2,8.9,-3.36,-5.26,8.25
440,1763,150.6620717,-34.02576,0.2,5.4,0.61,1.81,14.6,8.2,-3.12,-4.95,7.4
441,1767,150.6620667,-34.025795,-0.8,4.3,0.8,2.52,13.3,7,-3.28,-4.58,6.25
442,1771,150.66206,-34.0258317,-1,3.8,0.76,2.5,12.3,6.4,-3.14,-4.4,5.65
443,1775,150.662055,-34.02587,-1.5,4.1,0.81,2.43,11.9,5.9,-3.06,-4.25,5.2
444,1779,150.6620467,-34.0259083,-1,3.6,0.73,2.36,12,6.1,-3.02,-4.3,5.5
445,1783,150.6620383,-34.0259483,-0.3,4.2,0.53,2.11,11.8,6.3,-2.99,-4.49,5.75
446,1787,150.66203,-34.02599,-0.2,3.5,0.47,2.08,12.2,6.5,-3.06,-4.75,6
447,1791,150.6620217,-34.0260333,-0.5,3.3,0.45,2.09,12.1,6.8,-3.1,-4.76,5.8
448,1795,150.6620133,-34.0260733,-0.9,2.2,0.45,2.11,12.8,7,-3.22,-5.02,5.95
449,1799,150.6620117,-34.0261133,-0.9,2.1,0.54,2.33,13.7,6.5,-3.39,-5.19,6.4
450,1803,150.662015,-34.02615,-0.9,2.2,0.51,2.5,14.2,6.5,-3.55,-5.36,6.65
451,1807,150.6620167,-34.026185,-2.7,1.3,0.59,2.74,15.7,6.2,-3.79,-5.37,6.5
452,1811,150.6620067,-34.0262133,-2.2,1.4,0.66,2.93,15.1,6.5,-3.9,-5.45,6.45
453,1815,150.6619817,-34.02623,-2,2,0.65,3.03,15.1,6.1,-3.97,-5.47,6.55
454,1819,150.661955,-34.0262317,-1.9,1.5,0.65,3.06,14.9,5.7,-3.99,-5.45,6.5
455,1823,150.6619317,-34.0262217,-2.2,1.3,0.7,3.14,14.8,5.2,-4.01,-5.39,6.3
456,1827,150.6619183,-34.0262017,-4.3,0.3,0.74,3.17,13.8,5.2,-3.94,-5.34,4.75
457,1831,150.6619183,-34.026175,-2.6,0.8,0.69,3.09,14.1,5.2,-3.93,-5.34,5.75
458,1835,150.6619267,-34.0261467,-1.6,1.2,0.51,2.99,14.6,5.7,-3.97,-5.49,6.5
459,1839,150.6619383,-34.0261117,-0.5,1.6,0.37,2.68,14.4,6.2,-3.82,-5.55,6.95
460,1843,150.6619483,-34.0260733,-0.4,1.5,0.36,2.62,14.7,6.7,-3.81,-5.56,7.15
461,1847,150.66196,-34.0260317,-1.2,1.1,0.43,2.58,14.5,6.2,-3.64,-5.37,6.65
462,1851,150.66197,-34.0259883,-0.7,1.1,0.42,2.36,13.4,6.2,-3.38,-5.14,6.35
463,1855,150.66198,-34.0259433,-0.7,2.2,0.43,2.11,12.7,5.9,-3.14,-4.89,6
464,1859,150.66199,-34.0258983,-0.8,2.3,0.5,2.04,12.3,6,-3.05,-4.77,5.75
465,1863,150.6620033,-34.0258533,-0.5,3.2,0.55,2.05,12.2,5.9,-3.01,-4.53,5.85
466,1867,150.66201,-34.02581,-0.6,3.5,0.64,2.25,12.7,6.7,-3.06,-4.38,6.05
467,1871,150.6620133,-34.025765,-1,4.3,0.69,2.32,11.9,6.1,-2.99,-4.21,5.45
468,1875,150.6620183,-34.0257217,-1.8,4.3,0.8,2.44,11.5,6,-2.94,-4.04,4.85
469,1879,150.6620283,-34.0256767,-0.8,4.6,0.76,2.52,12.2,6.7,-3,-4.23,5.7
470,1883,150.6620417,-34.0256333,0.5,5.4,0.58,2.2,12.8,7.3,-3.15,-4.7,6.65
471,1887,150.6620517,-34.0255883,0.7,5.8,0.55,2.19,13.7,7.7,-3.32,-5.18,7.2
472,1891,150.6620633,-34.0255433,1.4,5.8,0.47,2.01,14,8.4,-3.39,-5.47,7.7
473,1895,150.662075,-34.0254983,2.1,5.9,0.29,1.87,15.5,9,-3.59,-6.07,8.8
474,1899,150.6620867,-34.0254517,3.6,6.8,0.16,1.83,16.4,10.1,-3.85,-6.7,10
475,1903,150.6620983,-34.0254067,4.1,6.7,0.03,2.08,17.7,10.8,-4.17,-7.25,10.9
476,1907,150.6621083,-34.02536,4,6.3,-0.04,2.03,17.2,10.8,-4.16,-7.42,10.6
477,1911,150.6621167,-34.0253133,4.3,5.9,-0.14,2.3,18,10.6,-4.43,-7.81,11.15
478,1915,150.6621233,-34.0252667,3.1,5.3,0.1,2.61,18.1,10.2,-4.49,-7.59,10.6
479,1919,150.6621317,-34.0252183,1.5,4.7,0.31,2.83,17.3,10,-4.33,-7.3,9.4
480,1923,150.66214,-34.0251717,2.8,6,0.18,2.64,17.3,10.2,-4.22,-7.23,10.05
481,1927,150.6621517,-34.025125,2.5,6.2,0.27,2.68,17.4,10.6,-4.3,-7.2,9.95
482,1931,150.6621667,-34.0250767,2.9,6.1,0.13,2.58,18.2,11,-4.38,-7.52,10.55
483,1935,150.66218,-34.0250283,3.4,6.2,0.01,2.55,19.2,11.4,-4.52,-7.85,11.3
484,1939,150.6621933,-34.0249783,3.8,6.1,-0.12,2.58,19.9,11.5,-4.92,-8.59,11.85
485,1943,150.662205,-34.0249283,3,5.4,0.05,2.83,20.5,11.3,-5.26,-8.99,11.75
486,1947,150.662215,-34.0248783,3.4,4.9,-0.16,2.59,20.8,12,-5.2,-9.29,12.1
487,1951,150.6622267,-34.0248267,2.3,4.9,-0.05,2.62,20.3,11,-4.98,-8.79,11.3
488,1955,150.6622367,-34.024775,2,4.1,0.08,2.77,18.7,10,-4.67,-8.02,10.35
489,1959,150.6622467,-34.024725,2.9,3.9,0.04,2.63,17.2,9.9,-4.28,-7.4,10.05
490,1963,150.66226,-34.0246733,4.1,4.9,-0.09,2.27,16.9,10.4,-4.05,-7.38,10.5
