Lon,Lat,1mHCPcon
150.6631867,-34.0248583,4.1
150.6631867,-34.0248667,4.3
150.6631883,-34.0248783,4.725
150.6631883,-34.0248917,4.925
150.6631867,-34.024905,4.675
150.6631867,-34.02492,4.775
150.663185,-34.0249367,4.675
150.6631817,-34.024955,4.775
150.6631767,-34.0249767,5.5
150.6631717,-34.0249983,5.775
150.6631667,-34.0250217,5.575
150.66316,-34.0250467,5.075
150.6631533,-34.0250717,4.175
150.6631467,-34.0251,3.575
150.6631383,-34.0251283,3.65
150.66313,-34.0251567,3.95
150.6631233,-34.0251867,4.425
150.663115,-34.0252183,4.4
150.6631067,-34.0252483,4.025
150.6631,-34.02528,3.9
150.6630917,-34.0253133,4.05
150.663085,-34.025345,4.3
150.6630767,-34.0253783,4.65
150.66307,-34.0254117,5
150.6630617,-34.0254433,5
150.6630533,-34.0254767,4.9
150.663045,-34.02551,4.725
150.663035,-34.0255433,4.2
150.6630267,-34.0255767,3.65
150.6630167,-34.02561,3.25
150.6630083,-34.025645,2.925
150.663,-34.0256783,2.75
150.66299,-34.0257133,2.6
150.6629817,-34.0257467,2.5
150.6629717,-34.0257817,2.375
150.6629633,-34.0258167,2.125
150.662955,-34.02585,2.225
150.6629467,-34.025885,2.375
150.6629383,-34.0259183,2.425
150.66293,-34.0259533,2.4
150.6629217,-34.0259867,2.05
150.662915,-34.02602,1.8
150.6629067,-34.026055,1.325
150.6628983,-34.0260883,1.375
150.66289,-34.0261217,1.65
150.6628833,-34.0261567,1.7
150.6628733,-34.02619,2.1
150.6628667,-34.0262233,2.275
150.6628583,-34.0262567,2.2
150.66285,-34.0262883,2.5
150.6628417,-34.0263217,2.775
150.6628333,-34.0263533,3.325
150.662825,-34.026385,3.825
150.6628167,-34.026415,3.65
150.66281,-34.0264467,3.275
150.662805,-34.0264767,2.35
150.6627983,-34.026505,1.6
150.662785,-34.02653,1.6
150.6627617,-34.026545,1.8
150.6627333,-34.0265433,2.425
150.6627117,-34.02653,2.55
150.662705,-34.0265083,2.2
150.6627083,-34.026485,1.325
150.6627167,-34.0264617,0.675
150.662725,-34.026435,0.65
150.6627333,-34.026405,1.1
150.66274,-34.026375,1.925
150.6627483,-34.0263417,2.3
150.662755,-34.02631,2.35
150.6627633,-34.0262783,2
150.66277,-34.026245,1.75
150.66278,-34.0262117,1.7
150.6627883,-34.0261783,1.75
150.6627967,-34.026145,1.875
150.6628067,-34.0261117,2.15
150.6628167,-34.0260767,2.125
150.6628267,-34.0260417,2.2
150.662835,-34.0260083,2.35
150.662845,-34.0259733,2.3
150.6628517,-34.0259417,2.55
150.66286,-34.0259133,2.775
150.6628667,-34.025885,2.875
150.662875,-34.025855,3.125
150.6628817,-34.0258233,3.15
150.66289,-34.0257917,3.175
150.6628983,-34.0257583,3.275
150.6629067,-34.0257267,3.375
150.662915,-34.0256933,3.85
150.6629233,-34.0256617,4.375
150.6629317,-34.0256283,4.925
150.66294,-34.025595,5.6
150.6629483,-34.0255633,6.025
150.6629567,-34.02553,6.5
150.6629667,-34.0254967,6.9
150.662975,-34.0254633,6.875
150.6629833,-34.02543,6.7
150.6629917,-34.0253967,6.3
150.663,-34.0253633,5.975
150.66301,-34.02533,5.825
150.6630183,-34.0252967,5.85
150.6630267,-34.0252633,6.175
150.663035,-34.02523,6.65
150.6630433,-34.0251967,7.025
150.6630517,-34.0251633,7.15
150.66306,-34.0251317,7.025
150.6630683,-34.0251,6.925
150.6630767,-34.0250683,6.825
150.6630833,-34.0250367,6.925
150.6630917,-34.025005,6.975
150.6630983,-34.0249733,6.65
150.6631067,-34.0249433,6.05
150.663115,-34.024915,5.125
150.6631217,-34.0248883,4.425
150.6631233,-34.0248633,3.8
150.6631117,-34.02484,3.725
150.6630867,-34.0248283,3.925
150.6630583,-34.0248283,3.95
150.6630367,-34.0248433,3.325
150.6630233,-34.0248667,3.625
150.6630183,-34.0248917,4.275
150.663015,-34.0249167,5.075
150.6630083,-34.024945,6.5
150.6630033,-34.0249767,6.975
150.662995,-34.0250083,7.1
150.6629867,-34.0250417,7.175
150.6629783,-34.025075,7.2
150.66297,-34.02511,7.025
150.6629617,-34.0251467,6.975
150.6629533,-34.0251833,6.8
150.6629433,-34.02522,6.775
150.662935,-34.0252567,6.975
150.662925,-34.025295,6.95
150.662915,-34.0253317,7
150.6629067,-34.0253683,7.2
150.6628967,-34.025405,7.325
150.6628883,-34.02544,7.525
150.66288,-34.025475,7.625
150.6628717,-34.02551,7.5
150.6628633,-34.025545,7.125
150.662855,-34.02558,6.625
150.6628467,-34.0256133,6.025
150.6628383,-34.0256467,5.275
150.66283,-34.02568,4.7
150.6628217,-34.0257117,4.4
150.6628133,-34.025745,4.25
150.662805,-34.0257767,4.45
150.6627967,-34.0258083,4.05
150.6627883,-34.02584,3.525
150.66278,-34.02587,3.025
150.6627717,-34.0259017,2.3
150.6627633,-34.0259317,2.55
150.6627567,-34.0259633,2.85
150.6627483,-34.0259933,2.975
150.6627417,-34.026025,2.85
150.6627333,-34.026055,2.575
150.6627267,-34.0260867,2.125
150.6627183,-34.0261183,1.9
150.6627117,-34.0261483,1.9
150.662705,-34.02618,1.75
150.6626983,-34.0262117,1.625
150.66269,-34.0262433,1.65
150.6626817,-34.0262733,1.65
150.6626733,-34.026305,1.45
150.662665,-34.0263367,1.4
150.6626567,-34.0263667,1.275
150.6626483,-34.0263967,1.55
150.66264,-34.0264267,2.1
150.66263,-34.0264533,2.075
150.6626133,-34.0264767,1.775
150.6625867,-34.0264883,1.3
150.6625583,-34.0264817,0.525
150.66254,-34.026465,1.225
150.6625367,-34.02644,1.275
150.662545,-34.0264167,1.475
150.6625567,-34.0263917,1.975
150.6625667,-34.026365,1.55
150.6625767,-34.0263383,1.875
150.6625833,-34.0263117,1.85
150.66259,-34.026285,1.55
150.6625983,-34.0262567,1.625
150.662605,-34.0262283,1.675
150.6626117,-34.0261983,1.975
150.66262,-34.0261683,2.15
150.6626283,-34.0261383,1.9
150.6626367,-34.0261067,2.05
150.662645,-34.026075,2.025
150.6626517,-34.026045,2.275
150.66266,-34.0260133,2.725
150.6626683,-34.0259817,2.875
150.6626767,-34.02595,3
150.662685,-34.0259183,2.925
150.6626917,-34.0258883,2.65
150.6626983,-34.0258567,2.525
150.6627067,-34.0258267,2.525
150.6627133,-34.0257983,2.825
150.66272,-34.0257683,3.375
150.6627267,-34.0257383,3.7
150.662735,-34.0257067,4.05
150.6627433,-34.0256767,4.125
150.6627517,-34.025645,4.275
150.66276,-34.0256117,4.525
150.6627667,-34.02558,4.75
150.662775,-34.0255467,5.275
150.6627833,-34.0255133,5.5
150.66279,-34.02548,5.85
150.6627983,-34.0254467,6.375
150.6628067,-34.0254117,6.7
150.662815,-34.0253783,6.975
150.6628233,-34.025345,7.25
150.6628333,-34.02531,7.2
150.6628433,-34.0252767,7.275
150.6628517,-34.0252417,7.35
150.6628617,-34.0252083,7.475
150.66287,-34.0251733,7.725
150.6628783,-34.0251383,7.725
150.6628867,-34.025105,7.975
150.662895,-34.02507,7.95
150.6629033,-34.025035,7.85
150.6629133,-34.025,7.8
150.6629217,-34.024965,7.4
150.66293,-34.02493,6.725
150.66294,-34.0248983,5.85
150.66295,-34.024865,5
150.6629633,-34.0248383,4.65
150.6629683,-34.02481,4.925
150.662955,-34.0247883,5.375
150.66293,-34.0247767,6
150.6629017,-34.02478,5.95
150.6628783,-34.024795,5.5
150.662865,-34.0248167,5.375
150.6628583,-34.02484,5.45
150.6628533,-34.024865,6.25
150.6628483,-34.0248933,7.075
150.6628417,-34.0249217,7.9
150.662835,-34.024955,8.85
150.6628267,-34.0249883,9.525
150.6628183,-34.0250233,10.1
150.66281,-34.0250583,10.55
150.6628017,-34.0250917,10.575
150.6627933,-34.0251267,10.125
150.6627867,-34.0251583,9.675
150.6627783,-34.0251917,8.925
150.66277,-34.0252233,8.25
150.6627617,-34.025255,8.025
150.662755,-34.0252867,7.875
150.6627467,-34.0253167,7.85
150.6627383,-34.0253483,7.9
150.66273,-34.0253783,7.85
150.6627217,-34.02541,7.875
150.6627133,-34.0254417,7.825
150.662705,-34.0254733,7.575
150.6626967,-34.0255067,7.25
150.6626883,-34.0255383,6.85
150.6626817,-34.0255717,6.475
150.6626733,-34.0256033,6.175
150.6626633,-34.025635,5.85
150.6626567,-34.0256683,5.6
150.6626483,-34.0257,5.225
150.6626383,-34.0257317,4.75
150.6626317,-34.025765,4.5
150.6626233,-34.0257967,3.8
150.662615,-34.0258283,3.125
150.6626067,-34.0258583,2.625
150.6625983,-34.02589,2.125
150.66259,-34.0259233,2.15
150.6625817,-34.025955,2.475
150.6625733,-34.0259867,2.725
150.662565,-34.02602,2.825
150.6625567,-34.0260533,2.825
150.6625483,-34.026085,2.55
150.66254,-34.0261183,2.075
150.6625317,-34.0261517,1.7
150.662525,-34.0261833,1.225
150.6625167,-34.0262167,1.225
150.66251,-34.02625,1.475
150.6625017,-34.0262833,1.75
150.662495,-34.0263167,2.125
150.6624867,-34.02635,1.725
150.6624783,-34.0263817,1.1
150.6624767,-34.0264117,0.55
150.6624817,-34.0264417,0.275
150.6624817,-34.0264717,-1.15
150.6624683,-34.0264967,-0.675
150.6624433,-34.02651,-0.6
150.662415,-34.02651,-0.825
150.6623917,-34.0264967,0.325
150.66238,-34.026475,0.075
150.6623817,-34.02645,0.2
150.66239,-34.0264217,0.7
150.6624,-34.0263933,1.5
150.6624117,-34.0263633,1.8
150.6624217,-34.0263317,1.85
150.66243,-34.0262983,1.55
150.6624383,-34.026265,1.225
150.6624483,-34.0262317,1
150.6624567,-34.0261983,1.1
150.662465,-34.0261633,1.35
150.6624733,-34.02613,1.5
150.6624817,-34.026095,1.9
150.66249,-34.02606,2.125
150.6625,-34.0260267,2.225
150.6625083,-34.0259933,2.4
150.6625167,-34.0259583,2.425
150.662525,-34.025925,2.55
150.6625317,-34.0258933,2.775
150.66254,-34.0258617,3.125
150.6625467,-34.0258317,3.575
150.662555,-34.0258017,3.975
150.6625633,-34.0257717,4.475
150.66257,-34.0257433,4.9
150.6625783,-34.025715,5.475
150.662585,-34.025685,6.1
150.6625917,-34.0256567,6.575
150.6626,-34.0256267,7.05
150.6626067,-34.0255967,7.175
150.662615,-34.0255683,7.35
150.6626217,-34.0255383,7.575
150.6626283,-34.0255083,7.75
150.6626367,-34.0254783,8.125
150.6626433,-34.0254483,8.225
150.66265,-34.0254183,8.2
150.6626583,-34.0253867,8.075
150.662665,-34.0253567,7.8
150.6626733,-34.025325,7.55
150.6626817,-34.0252933,7.55
150.6626883,-34.0252633,7.6
150.6626967,-34.0252333,7.8
150.6627033,-34.0252017,8.275
150.6627117,-34.02517,8.775
150.66272,-34.0251383,9.325
150.6627267,-34.025105,9.65
150.662735,-34.0250733,9.65
150.6627417,-34.0250417,9.5
150.66275,-34.02501,9.325
150.6627567,-34.0249783,9.075
150.6627633,-34.0249483,8.85
150.66277,-34.0249183,8.425
150.6627767,-34.0248883,7.55
150.662785,-34.0248617,6.45
150.6628,-34.02484,5.575
150.66281,-34.024815,4.85
150.6628083,-34.02479,4.875
150.6627917,-34.0247683,5.15
150.662765,-34.02476,5.05
150.6627367,-34.024765,5.05
150.6627167,-34.0247817,4.7
150.6627083,-34.024805,4.325
150.6627083,-34.0248283,4.45
150.6627067,-34.0248533,4.75
150.6627033,-34.0248817,5.35
150.6626967,-34.02491,6.225
150.66269,-34.0249417,6.8
150.6626817,-34.0249733,7.25
150.662675,-34.0250067,7.5
150.6626667,-34.02504,7.475
150.6626567,-34.025075,7.175
150.6626483,-34.0251083,6.3
150.6626383,-34.0251433,5.3
150.66263,-34.0251767,4.925
150.66262,-34.0252117,4.85
150.6626117,-34.0252467,5.425
150.662605,-34.02528,5.85
150.6625967,-34.025315,6.075
150.6625883,-34.02535,6.425
150.66258,-34.025385,6.45
150.66257,-34.02542,6.725
150.6625617,-34.025455,6.75
150.6625533,-34.02549,6.5
150.6625433,-34.0255267,6.25
150.662535,-34.0255617,5.95
150.6625267,-34.0255967,5.725
150.6625183,-34.0256317,5.55
150.6625117,-34.025665,5.375
150.6625033,-34.0256983,5.075
150.662495,-34.0257317,4.65
150.6624867,-34.025765,4.525
150.6624783,-34.0257967,4.35
150.6624717,-34.025825,4.175
150.6624633,-34.025855,3.8
150.6624567,-34.0258833,3.175
150.66245,-34.02591,2.8
150.6624433,-34.0259383,2.525
150.662435,-34.0259683,2.675
150.6624283,-34.0259967,2.825
150.66242,-34.0260267,2.7
150.6624117,-34.026055,2.625
150.6624033,-34.0260833,2.2
150.6623967,-34.0261133,1.825
150.6623883,-34.0261417,1.7
150.6623817,-34.0261717,1.65
150.6623733,-34.0262017,1.725
150.6623667,-34.0262317,1.825
150.6623583,-34.0262617,1.725
150.6623483,-34.0262917,1.675
150.66234,-34.0263217,1.4
150.66233,-34.0263517,1.05
150.6623217,-34.02638,0.9
150.6623183,-34.02641,0.75
150.6623083,-34.026435,1.2
150.66229,-34.026455,1.65
150.6622633,-34.02646,1.725
150.6622383,-34.0264517,1.525
150.6622233,-34.0264317,0.9
150.6622217,-34.0264067,0.3
150.6622317,-34.0263783,0.175
150.6622433,-34.02635,0.35
150.662255,-34.02632,0.75
150.662265,-34.02629,1.05
150.6622733,-34.0262583,1.175
150.6622817,-34.0262267,1.175
150.6622917,-34.026195,1.1
150.6623,-34.0261633,1.35
150.6623083,-34.02613,1.675
150.6623167,-34.0260983,1.925
150.662325,-34.026065,2.2
150.6623333,-34.0260317,2.4
150.6623433,-34.0259967,2.525
150.6623517,-34.0259633,2.7
150.66236,-34.0259283,2.925
150.66237,-34.025895,3.2
150.6623783,-34.02586,3.525
150.6623867,-34.0258267,3.75
150.6623967,-34.0257917,3.725
150.662405,-34.0257583,3.6
150.6624133,-34.025725,3.5
150.6624217,-34.02569,3.55
150.66243,-34.0256567,3.65
150.6624383,-34.0256233,3.875
150.6624467,-34.02559,3.9
150.662455,-34.025555,3.975
150.6624633,-34.0255217,4.125
150.6624717,-34.0254883,4.175
150.66248,-34.025455,4.475
150.6624883,-34.0254217,4.7
150.6624967,-34.0253883,4.775
150.6625033,-34.025355,4.85
150.6625117,-34.0253217,4.675
150.66252,-34.0252883,4.575
150.6625283,-34.0252567,4.45
150.6625367,-34.0252233,4.225
150.662545,-34.0251917,3.975
150.6625533,-34.0251583,3.725
150.66256,-34.0251267,3.825
150.6625683,-34.025095,4.05
150.6625767,-34.0250633,4.4
150.662585,-34.0250317,4.725
150.6625933,-34.025,4.75
150.6626017,-34.0249683,4.75
150.6626083,-34.0249367,4.625
150.6626167,-34.0249067,4.475
150.6626233,-34.0248767,4.4
150.6626317,-34.0248467,4.25
150.6626433,-34.0248217,4.125
150.662655,-34.0247967,4.125
150.662655,-34.02477,4.475
150.6626367,-34.02475,4.65
150.6626083,-34.0247417,4.875
150.6625817,-34.02475,4.575
150.6625617,-34.0247683,3.875
150.662555,-34.0247933,3.3
150.6625517,-34.0248183,3.05
150.6625467,-34.024845,3.125
150.6625417,-34.02487,3.3
150.6625383,-34.024885,3.525
150.6625367,-34.024895,3.425
150.662535,-34.024905,3.325
150.6625333,-34.0249133,3.225
150.66253,-34.0249217,3.175
150.6625283,-34.02493,3.3
150.662525,-34.0249433,3.575
150.6625217,-34.0249567,3.8
150.6625167,-34.0249717,4.1
150.6625117,-34.02499,4.275
150.662505,-34.0250117,4.4
150.6624983,-34.025035,4.65
150.66249,-34.0250617,4.8
150.6624833,-34.02509,4.85
150.662475,-34.0251183,4.725
150.6624683,-34.0251483,4.55
150.66246,-34.02518,4.325
150.6624517,-34.0252117,4.15
150.6624433,-34.025245,4.075
150.662435,-34.0252767,4.05
150.6624267,-34.02531,4.1
150.6624183,-34.0253433,4.15
150.6624083,-34.0253783,4.225
150.6623983,-34.0254133,4.075
150.66239,-34.0254483,4.025
150.6623817,-34.0254833,4.1
150.6623733,-34.02552,4.025
150.6623633,-34.025555,4.05
150.662355,-34.0255917,4.025
150.662345,-34.0256283,3.875
150.6623367,-34.025665,3.775
150.6623267,-34.0257017,3.8
150.6623167,-34.0257383,3.675
150.6623067,-34.025775,3.6
150.6622967,-34.02581,3.5
150.6622867,-34.025845,3.25
150.6622767,-34.0258783,3.1
150.6622683,-34.0259133,2.9
150.6622583,-34.0259467,2.675
150.66225,-34.02598,2.375
150.6622417,-34.026015,1.725
150.6622333,-34.02605,1.5
150.662225,-34.026085,1.375
150.6622183,-34.02612,1.3
150.66221,-34.026155,1.475
150.6622017,-34.0261867,1.275
150.662195,-34.0262183,1.025
150.6621867,-34.0262483,0.8
150.66218,-34.0262783,0.6
150.6621717,-34.0263067,0.475
150.662165,-34.026335,0.55
150.6621583,-34.0263633,0.55
150.6621467,-34.0263867,0.55
150.6621267,-34.0264017,0.75
150.6621,-34.026405,0.675
150.6620783,-34.0263933,0.65
150.66207,-34.026375,0.7
150.6620733,-34.0263517,0.6
150.6620833,-34.02633,0.55
150.662095,-34.0263117,0.675
150.6621033,-34.02629,0.25
150.6621117,-34.0262667,0.325
150.6621183,-34.0262433,0.55
150.6621267,-34.0262167,0.8
150.6621333,-34.02619,1.5
150.6621417,-34.0261617,1.675
150.6621483,-34.02613,1.8
150.662155,-34.0260983,1.85
150.6621633,-34.0260667,2
150.6621717,-34.0260333,2.1
150.66218,-34.026,2.275
150.6621883,-34.0259667,2.525
150.6621967,-34.0259333,2.775
150.662205,-34.0258983,2.975
150.6622133,-34.025865,3.225
150.6622217,-34.0258317,3.375
150.66223,-34.0257967,3.45
150.6622383,-34.0257633,3.725
150.6622467,-34.0257317,3.85
150.6622533,-34.0256983,4.075
150.6622617,-34.0256667,4.375
150.66227,-34.025635,4.625
150.6622767,-34.0256033,5.25
150.662285,-34.0255717,5.8
150.6622933,-34.02554,6.225
150.6623017,-34.0255083,6.4
150.6623083,-34.0254767,6.225
150.6623167,-34.025445,6.125
150.662325,-34.0254133,6.275
150.6623333,-34.0253817,6.8
150.6623417,-34.0253517,7.35
150.6623483,-34.02532,7.525
150.6623567,-34.0252883,7.325
150.6623633,-34.0252567,6.725
150.6623717,-34.0252267,6.15
150.66238,-34.025195,5.95
150.6623883,-34.0251633,6.125
150.6623967,-34.0251317,6.5
150.6624067,-34.0251017,6.95
150.662415,-34.02507,7.15
150.662425,-34.02504,6.95
150.6624333,-34.0250083,6.6
150.6624417,-34.0249767,6.05
150.6624483,-34.024945,5.5
150.6624567,-34.0249133,5.2
150.662465,-34.0248817,4.775
150.6624733,-34.0248533,4.225
150.6624833,-34.0248267,3.75
150.662495,-34.0248017,3.4
150.66251,-34.0247783,3.675
150.6625167,-34.0247533,4.25
150.6625067,-34.02473,4.925
150.6624833,-34.0247167,5.525
150.6624567,-34.024715,5.45
150.6624317,-34.0247267,5.4
150.6624183,-34.0247467,5.25
150.662415,-34.0247667,4.6
150.6624133,-34.0247867,4.2
150.6624117,-34.0248067,4.175
150.662405,-34.0248283,4.125
150.6624,-34.02485,4.125
150.6623933,-34.0248767,4.45
150.6623867,-34.0249017,4.95
150.66238,-34.02493,5.8
150.6623717,-34.0249583,6.95
150.662365,-34.0249883,8.125
150.6623567,-34.0250183,8.575
150.66235,-34.0250483,8.625
150.6623417,-34.02508,8.875
150.662335,-34.0251117,8.85
150.6623267,-34.025145,8.75
150.6623167,-34.0251767,8.95
150.6623083,-34.02521,8.95
150.6623,-34.025245,8.825
150.6622917,-34.0252783,8.625
150.6622817,-34.0253133,8.2
150.6622733,-34.0253467,7.925
150.6622633,-34.0253833,7.725
150.662255,-34.0254183,7.875
150.6622467,-34.0254533,8.05
150.662235,-34.02549,7.975
150.662225,-34.025525,7.875
150.6622167,-34.0255617,7.475
150.6622067,-34.0255967,6.9
150.6621983,-34.0256333,6.475
150.66219,-34.0256683,5.95
150.662185,-34.0256933,5.525
150.66218,-34.02571,5.275
150.6621767,-34.025725,4.775
150.6621733,-34.0257417,4.125
150.6621683,-34.0257617,3.875
150.6621633,-34.0257783,3.3
150.6621583,-34.0258017,2.875
150.6621533,-34.0258233,2.725
150.6621467,-34.0258483,2.225
150.66214,-34.0258733,2.175
150.6621333,-34.0259,2.025
150.6621267,-34.0259267,2.05
150.6621183,-34.025955,2.325
150.6621117,-34.0259817,2.35
150.6621067,-34.02601,2.45
150.6621,-34.0260383,2.3
150.6620917,-34.026065,1.95
150.662085,-34.0260933,1.825
150.6620767,-34.02612,1.775
150.66207,-34.0261467,1.725
150.6620633,-34.0261717,1.45
150.6620567,-34.026195,1.475
150.6620517,-34.0262183,1.55
150.6620483,-34.02624,1.475
150.66204,-34.0262583,1.575
150.6620217,-34.0262667,1.45
150.6620033,-34.026265,1.4
150.66199,-34.0262533,1.4
150.6619867,-34.0262383,1.25
150.6619883,-34.0262217,1.025
150.6619933,-34.026205,0.625
150.662,-34.0261867,0.45
150.662005,-34.02617,0.5
150.66201,-34.0261533,0.15
150.662015,-34.026135,0.35
150.6620183,-34.0261133,0.275
150.662025,-34.0260917,0.375
150.66203,-34.0260667,1.05
150.6620367,-34.0260417,1.325
150.6620433,-34.026015,1.775
150.66205,-34.0259867,2.125
150.6620567,-34.0259583,2.225
150.6620633,-34.0259283,2.25
150.6620717,-34.0259,2.35
150.6620783,-34.0258717,2.25
150.6620867,-34.025845,2.15
150.662095,-34.0258183,2.125
150.662105,-34.0257917,2.3
150.6621133,-34.025765,2.525
150.6621217,-34.0257367,3.05
150.6621283,-34.02571,3.725
150.6621333,-34.0256817,4.225
150.66214,-34.0256533,4.925
150.662145,-34.0256233,5.525
150.66215,-34.025595,5.95
150.6621567,-34.025565,6.125
150.6621633,-34.0255367,6.475
150.66217,-34.0255067,6.925
150.6621767,-34.0254767,7.4
150.6621833,-34.0254467,7.975
150.6621883,-34.0254167,8.175
150.662195,-34.0253883,8
150.6622017,-34.0253583,7.925
150.6622083,-34.0253283,8.025
150.662215,-34.0252983,8.25
150.6622217,-34.0252683,8.725
150.66223,-34.0252383,9.15
150.6622367,-34.0252083,9.3
150.6622433,-34.0251783,9.15
150.6622517,-34.0251483,8.875
150.66226,-34.0251183,8.7
150.6622683,-34.0250867,8.625
150.6622767,-34.0250567,8.775
150.662285,-34.0250267,8.675
150.6622917,-34.024995,8.45
150.6623,-34.024965,8.15
150.6623083,-34.0249333,7.85
150.6623167,-34.0249017,7.75
150.662325,-34.0248717,7.3
150.6623333,-34.0248417,6.775
150.6623417,-34.0248133,5.55
150.66235,-34.0247867,4.7
150.6623617,-34.0247633,4.375
150.6623667,-34.0247417,4.35
150.66236,-34.02472,4.75
150.6623417,-34.0247067,5.025
150.6623167,-34.0247033,5.075
150.6622933,-34.0247117,4.875
150.6622767,-34.0247283,4.6
150.66227,-34.02475,3.95
150.6622667,-34.0247733,3.9
150.662265,-34.0247983,3.525
150.66226,-34.024825,3.6
150.662255,-34.0248517,4.15
150.6622483,-34.0248783,4.575
150.66224,-34.0249067,5.6
150.662235,-34.0249367,6.45
150.6622283,-34.024965,7.05
150.66222,-34.024995,7.15
150.6622133,-34.025025,7.225
150.6622067,-34.025055,7.375
150.6621983,-34.025085,7.375
150.6621883,-34.025115,7.325
150.66218,-34.0251467,7.225
150.6621717,-34.0251783,6.85
150.6621633,-34.02521,5.75
150.662155,-34.0252417,5.375
150.6621467,-34.025275,5.15
150.6621383,-34.0253067,4.975
150.66213,-34.02534,5.65
150.66212,-34.0253717,5.8
150.6621117,-34.025405,5.7
150.662105,-34.0254383,5.8
150.6620967,-34.0254733,5.65
150.6620883,-34.025505,5.4
150.6620817,-34.0255383,4.3
150.6620733,-34.02557,3.9
150.6620667,-34.0256033,3.625
150.6620583,-34.025635,3.125
150.66205,-34.0256683,3.525
150.6620433,-34.0257,3.35
150.6620367,-34.0257317,2.95
150.66203,-34.0257633,2.675
150.6620217,-34.0257933,2.6
150.6620133,-34.0258233,2.225
150.662005,-34.0258533,2.175
150.6619967,-34.0258833,2.05
150.6619883,-34.0259133,1.75
150.6619817,-34.0259433,1.2
150.6619733,-34.0259733,0.9
150.6619667,-34.026005,1
150.66196,-34.026035,0.925
150.6619533,-34.026065,1.35
150.6619467,-34.026095,1.525
150.6619383,-34.026125,1.45
150.6619317,-34.026155,1.25
150.661925,-34.0261833,0.95
150.6619167,-34.0262117,0.6
150.66191,-34.0262383,0.2
150.661905,-34.026265,0.25
150.6618983,-34.0262917,0.25
150.661895,-34.0263183,0.475
150.6618967,-34.026345,0.675
150.6619017,-34.0263683,0.9
150.6619117,-34.026385,1.05
150.6619217,-34.026395,1.03333333333333
150.661925,-34.0264,1.15
150.6619267,-34.0264017,0.9
